Country,Year,Confidence,
China,,0.95,0
Iceland,6.715939448,0.0617,6.715939448
Indonesia,7.577777778,0.2805,7.577777778
Angola,13.79921713,0.064,13.79921713
Benin,15.94776312,0.0684,15.94776312
Greece,18.01136364,0.0456,18.01136364
Uzbekistan,23.48224737,0.0248,23.48224737
Lebanon,23.99327247,0.0522,23.99327247
Senegal,25.14103555,0.0538,25.14103555
Serbia,26.98410014,0.0882,26.98410014
Italy,28.58600237,0.1176,28.58600237
Algeria,28.85150167,0.0274,28.85150167
Niger,-31.84286228,0.0339,31.84286228
Yemen,35.46288014,0.0603,35.46288014
Cameroon,-37.02992242,0.0576,37.02992242
Morocco,-40.89541547,0.0232,40.89541547
Afghanistan,-41.71887769,0.0626,41.71887769
Democratic Republic of the Congo,41.82031985,0.0223,41.82031985
Haiti,43.64263804,0.1004,43.64263804
United Republic of Tanzania,43.78534704,0.0195,43.78534704
Malaysia,-45.72493015,0.1328,45.72493015
Uganda,-47.57861635,0.0479,47.57861635
Kenya,-48.47676768,0.0451,48.47676768
Gabon,-48.73037858,0.0106,48.73037858
Bulgaria,48.7797619,0.0069,48.7797619
Bhutan,-54.62458939,0.0602,54.62458939
New Zealand,-58.12077703,0.0772,58.12077703
Mali,-58.64374199,0.0538,58.64374199
Cambodia,59.87963565,0.0676,59.87963565
El Salvador,-60.95947064,0.0807,60.95947064
Russian Federation,61.08333333,0.1034,61.08333333
Norway,61.77666922,0.031,61.77666922
Mongolia,-62.52226463,0.0236,62.52226463
Turkey,-62.52806954,0.08,62.52806954
South Africa,-63.62951807,0.049,63.62951807
Republic of Korea,64.35212661,0.041,64.35212661
Bolivia (Plurinational State of),-65.19263945,0.0073,65.19263945
Belgium,65.77105978,0.0182,65.77105978
Chad,-66.07935855,0.0645,66.07935855
Fiji,-66.5695326,0.0778,66.5695326
Oman,-66.95112016,0.0251,66.95112016
Dominican Republic,-67.75,0.0498,67.75
Canada,-68.97493734,0.0969,68.97493734
Burundi,-70.3424394,0.0969,70.3424394
Albania,-73.30853563,0.0368,73.30853563
Cuba,73.91951006,0.0711,73.91951006
Somalia,-76.12345679,0.0853,76.12345679
Namibia,-76.44978784,0.0638,76.44978784
Croatia,-76.94126621,0.0572,76.94126621
India,-77.78148855,0.254,77.78148855
Central African Republic,-77.90893761,0.0833,77.90893761
Guatemala,-78.24361066,0.057,78.24361066
Australia,-79.14269912,0.0454,79.14269912
Dominica,-80.01795332,0.0307,80.01795332
Lithuania,-80.25044723,0.0146,80.25044723
Belize,-80.60620301,0.0202,80.60620301
Mexico,-86.76693311,0.1008,86.76693311
Ukraine,-87.63487099,0.0872,87.63487099
Comoros,-88.79148403,0.0418,88.79148403
Paraguay,-93.71607516,0.0498,93.71607516
Venezuela (Bolivarian Republic of),-93.83187773,0.0086,93.83187773
Poland,94.04588113,0.0363,94.04588113
Vanuatu,-94.38010899,0.0516,94.38010899
Papua New Guinea,98.10152284,0.1056,98.10152284
Colombia,99.10006949,0.1227,99.10006949
Nicaragua,-102.1968616,0.041,102.1968616
Iraq,-102.3145604,0.1996,102.3145604
Sierra Leone,-104.5733652,0.0186,104.5733652
Argentina,-105.76,0.0364,105.76
Tajikistan,-106.25,0.01,106.25
Uruguay,106.7873832,0.0187,106.7873832
Suriname,-108.3657351,0.0094,108.3657351
Bahrain,-112.3653396,0.0093,112.3653396
Democratic People's Republic of Korea,-112.9243937,0.0085,112.9243937
Turkmenistan,-113.4060984,0.0165,113.4060984
Sweden,114.0381282,0.0122,114.0381282
Kyrgyzstan,-115.198939,0.0159,115.198939
Egypt,-118.9035836,0.2468,118.9035836
Chile,120.2087683,0.0864,120.2087683
Mauritania,-120.6442577,0.0085,120.6442577
Azerbaijan,-122.4831933,0.0333,122.4831933
Madagascar,124.6535245,0.0887,124.6535245
Tonga,-126.5597668,0.0197,126.5597668
Solomon Islands,-128.8151659,0.012,128.8151659
Hungary,-131.6551127,0.0093,131.6551127
North Macedonia,-134.5253165,0.0082,134.5253165
Estonia,-135.4552352,0.0066,135.4552352
Republic of Moldova,-136.672,0.0097,136.672
Saint Kitts and Nevis,-136.727707,0.0088,136.727707
Viet Nam,136.9157393,0.0451,136.9157393
Panama,-138.1802426,0.0087,138.1802426
Congo,-138.5081967,0.0087,138.5081967
Pakistan,138.6292614,0.0103,138.6292614
Spain,-138.6387435,0.025,138.6387435
Guinea-Bissau,-140.0655022,0.0239,140.0655022
New Caledonia,-141.2741652,0.0085,141.2741652
Montenegro,-141.7667845,0.0091,141.7667845
Trinidad and Tobago,-143.5650624,0.0085,143.5650624
Antigua and Barbuda,-145.1759364,0.0226,145.1759364
Mauritius,-146.4700544,0.0091,146.4700544
Brunei Darussalam,-147.0165746,0.0086,147.0165746
Peru,-147.3225152,0.0269,147.3225152
Gambia,-149.9318956,0.0214,149.9318956
Saint Lucia,-149.9547511,0.0216,149.9547511
Nauru,-150,0.0216,150
Sao Tome and Principe,-150.0566251,0.0217,150.0566251
Equatorial Guinea,-150.1927438,0.0216,150.1927438
Bahamas,-150.260771,0.0216,150.260771
Saint Vincent and the Grenadines,-150.2721088,0.0216,150.2721088
Grenada,-151.2333966,0.0087,151.2333966
Nigeria,-151.9486692,0.0087,151.9486692
Timor-Leste,-153.4480676,0.0261,153.4480676
Switzerland,-154.8708487,0.0087,154.8708487
Tuvalu,-155.4621072,0.0089,155.4621072
France,-155.7942857,0.0194,155.7942857
Botswana,-155.8220503,0.0075,155.8220503
Maldives,-156.308642,0.023,156.308642
Guinea,-157.8828229,0.0487,157.8828229
Saudi Arabia,-158.9265537,0.0358,158.9265537
Eritrea,-163.3550186,0.009,163.3550186
Cook Islands,-163.7176166,0.0232,163.7176166
Seychelles,-164.5876289,0.0096,164.5876289
Djibouti,-165.6666667,0.0241,165.6666667
Malawi,171.7078652,0.0814,171.7078652
Myanmar,-172.3290203,0.0253,172.3290203
Japan,-182.7099842,0.35,182.7099842
Cabo Verde,-184.3764434,0.0103,184.3764434
Netherlands,185.8136792,0.0146,185.8136792
Faroe Islands,-186.6772152,0.0088,186.6772152
Liberia,-189.4148936,0.0769,189.4148936
Kazakhstan,-193.2142857,0.0278,193.2142857
Ghana,-194.5409429,0.0506,194.5409429
French Polynesia,-194.5916795,0.0247,194.5916795
Czechia,-199.2021277,0.0081,199.2021277
Iran (Islamic Republic of),-206.3753799,0.0119,206.3753799
Honduras,206.8026101,0.1088,206.8026101
Lao People's Democratic Republic,-211.5968586,0.0175,211.5968586
Israel,-211.7938931,0.0415,211.7938931
Rwanda,-212.0416667,0.0439,212.0416667
Philippines,-212.1889401,0.0137,212.1889401
United Kingdom of Great Britain and Northern Ireland,-214.7230321,0.0219,214.7230321
United Arab Emirates,-218.3026114,0.014,218.3026114
Palestine,-221.4982877,0.0117,221.4982877
Finland,227.24,0.0048,227.24
Lesotho,-229.3428571,0.0107,229.3428571
Bosnia and Herzegovina,-230.9767025,0.0108,230.9767025
Denmark,-237.1542553,0.0166,237.1542553
Syrian Arab Republic,-242.3461538,0.0714,242.3461538
Thailand,260.9349593,0.0861,260.9349593
Slovakia,-261.4528302,0.0059,261.4528302
Brazil,266.1654135,0.0457,266.1654135
Mozambique,-267.7875,0.0834,267.7875
Tunisia,-287.7857143,0.0147,287.7857143
Armenia,-303.4615385,0.0167,303.4615385
Guyana,319.2528736,0.0031,319.2528736
Germany,-349.9764706,0.0879,349.9764706
Ethiopia,-378.8235294,0.021,378.8235294
Ecuador,416.3125,0.0446,416.3125
Bangladesh,-436.32,0.0359,436.32
Samoa,470.9433962,0.009,470.9433962
Kiribati,-478.202765,0.0038,478.202765
Costa Rica,493.089172,0.0175,493.089172
Portugal,497.2421525,0.0147,497.2421525
Burkina Faso,517.9615385,0.063,517.9615385
Singapore,664.0372671,0.0102,664.0372671
Belarus,667.7631579,0.016,667.7631579
Sri Lanka,701.3432836,0.0031,701.3432836
Togo,-704.2857143,0.0289,704.2857143
Nepal,714.296875,0.0383,714.296875
Georgia,-743.9215686,0.0196,743.9215686
Eswatini,-828.4765625,0.0049,828.4765625
Malta,-880.3305785,0.004,880.3305785
Austria,883.3333333,0.0054,883.3333333
Qatar,-1116.947368,0.0041,1116.947368
Kuwait,-1177.333333,0.0041,1177.333333
Jamaica,1472.753623,0.0083,1472.753623
Cyprus,-1682.444444,0.0036,1682.444444
United States of America,1736.219512,0.0863,1736.219512
Zimbabwe,-2441.153846,0.0652,2441.153846
Libya,-2507.954545,0.0479,2507.954545
Zambia,2687.037037,0.0385,2687.037037
Latvia,-2711.75,0.0018,2711.75
Romania,2750.833333,0.0068,2750.833333
Jordan,3364.166667,0.0017,3364.166667
Luxembourg,-7228.571429,0.0006,7228.571429
Barbados,-7702.307692,0.0003,7702.307692
Slovenia,14757.85714,0.001,14757.85714
Ireland,-42087.5,0.011,42087.5
